No.;E(HOMO);E(LUMO);He8_steric;PA;Q(B);BE(B);P-B;ΔP-A(B);ΔA−P-A(B);Q(Au);BE(Au);Au-Cl;Au-P;ΔP-A(Au);ΔA−P-A(Au);Q(Pd);BE(Pd);Pd-Cl trans;P-Pd;ΔP-A(Pd);ΔA−P-A(Pd);Q(Pt);BE(Pt);P-Pt;ΔP-A(Pt);ΔA−P-A(Pt);<(H3P)Pt(PH3);S4';;;;;
210;-0,19090;-0,02410;10,95;233,62;-0,701;40,14;1,914;-0,022;2,9;-0,306;73,82;2,311;2,265;-0,023;3,3;-1,271;38,75;2,373;2,266;-0,004;0,2;-0,015;18,83;2,313;0,008;-0,5;105,5;32,4;;;;;
211;-0,20480;-0,06570;2,97;228,95;-0,676;39,23;1,899;-0,023;3,9;-0,295;70,58;2,302;2,250;-0,025;4,1;-1,246;38,48;2,365;2,241;-0,008;0,9;0,023;22,61;2,288;0,000;0,7;107,6;45,6;;;;;
212;-0,24483;-0,08488;1,84;184,61;-0,557;28,63;1,903;-0,024;5,8;-0,204;57,53;2,284;2,242;-0,134;5,9;-1,146;35,72;2,345;2,241;0,009;3,6;0,096;14,44;2,282;0,023;0,5;109,1;65,2;;;;;
213;-0,21620;-0,05680;2,49;212,72;-0,624;34,82;1,907;-0,033;4,0;-0,244;65,36;2,298;2,255;-0,072;3,4;-1,223;36,40;2,359;2,251;-0,006;2,0;0,062;14,31;2,292;0,017;-0,2;107,9;48,6;;;;;
214;-0,23290;-0,04720;5,38;201,99;-0,640;30,50;1,899;-0,041;2,5;-0,277;59,11;2,291;2,245;-0,049;2,5;-1,200;29,66;2,351;2,239;-0,020;-0,3;0,093;19,80;2,270;0,013;-1,4;109,3;47,9;;;;;
215;-0,19350;-0,04240;9,41;220,05;-0,644;31,97;1,926;-0,042;2,5;-0,252;64,05;2,299;2,258;-0,042;2,7;-1,206;29,81;2,357;2,268;-0,017;-0,2;0,063;14,53;2,309;0,010;-1,3;108,2;36,2;;;;;
216;-0,19970;-0,05300;12,82;228,77;-0,642;34,65;1,933;-0,025;2,5;-0,514;69,30;2,308;2,271;-0,023;3,2;-1,198;31,41;2,365;2,305;0,003;-0,2;0,057;14,29;2,320;0,022;-1,2;105,1;26,9;;;;;
217;-0,20250;-0,05220;7,15;228,08;-0,634;35,06;1,919;-0,026;3,0;-0,259;68,55;2,308;2,264;-0,027;3,5;-1,218;35,59;2,364;2,269;-0,007;0,7;0,054;16,17;2,313;0,013;-0,8;106,8;40,2;;;;;
218;-0,20740;-0,00030;4,24;223,60;-0,680;34,60;1,889;-0,033;2,3;-0,325;69,15;2,301;2,247;-0,039;3,4;-1,280;37,98;2,375;2,254;-0,024;-0,7;-0,054;20,94;2,285;-0,004;-0,2;107,7;40,2;;;;;
219;-0,28910;-0,06020;5,14;183,42;-0,620;26,09;1,879;-0,036;2,6;-0,195;55,22;2,276;2,233;-0,035;2,1;-1,122;32,48;2,334;2,210;-0,008;-0,5;0,191;23,47;2,233;0,023;-3,4;107,7;66,1;;;;;
220;-0,21342;0,00379;3,00;229,70;-0,710;36,20;1,898;-0,033;2,3;-0,333;71,45;2,304;2,250;-0,040;0,7;-1,290;34,40;2,368;2,247;-0,020;-1,4;-0,030;21,60;2,290;-0,008;-2,7;107,5;45,9;;;;;
221;-0,24400;-0,03810;3,13;208,65;-0,689;33,40;1,889;-0,036;3,2;-0,268;63,28;2,290;2,244;-0,036;3,3;-1,208;40,95;2,349;2,232;-0,018;0,7;0,074;23,61;2,268;0,003;-1,1;108,3;55,4;;;;;
222;-0,19730;0,00400;4,36;233,89;-0,729;38,16;1,904;-0,038;3,7;-0,334;70,78;2,304;2,257;-0,042;3,7;-1,275;35,95;2,366;2,258;-0,021;1,2;-0,028;18,59;2,308;-0,005;-0,1;108,1;47,9;;;;;
223;-0,20220;0,00420;7,05;229,38;-0,729;36,31;1,898;-0,035;3,4;-0,331;67,86;2,304;2,259;-0,036;3,2;-1,281;35,03;2,364;2,247;-0,019;0,8;-0,024;17,71;2,322;-0,002;-0,7;108,4;49,4;;;;;
224;-0,20470;0,00310;4,44;230,78;-0,726;36,68;1,900;-0,038;3,3;-0,331;68,55;2,304;2,257;-0,040;3,7;-1,271;36,10;2,366;2,254;-0,022;0,9;-0,018;20,62;2,294;-0,005;-0,9;108,4;47,9;;;;;
225;-0,19010;0,00620;9,38;240,44;-0,738;36,44;1,917;-0,040;3,0;-0,338;70,50;2,310;2,274;-0,042;3,0;-1,288;32,77;2,373;2,273;-0,027;0,4;-0,034;12,72;2,333;-0,007;-0,8;107,3;46,4;;;;;
226;-0,26680;-0,05980;16,96;194,82;-0,617;21,30;1,898;-0,043;2,4;-0,203;53,75;2,284;2,245;-0,044;2,1;-1,099;19,37;2,336;2,275;-0,007;-2,2;0,173;15,00;2,267;0,020;-3,9;107,2;66,2;;;;;
227;-0,20570;0,00050;4,34;231,51;-0,726;37,18;1,900;-0,037;3,2;-0,328;68,49;2,306;2,258;-0,038;3,0;-1,277;36,29;2,364;2,249;-0,021;0,8;-0,017;19,37;2,295;-0,004;-0,7;108,0;49,7;;;;;
228;-0,19800;0,00460;4,64;237,42;-0,732;37,89;1,904;-0,037;3,3;-0,331;69,59;2,307;2,264;-0,039;3,1;-1,278;35,64;2,366;2,258;-0,021;0,6;-0,023;18,95;2,306;-0,005;-0,6;107,9;47,4;;;;;
229;-0,20110;-0,04710;5,94;222,10;-0,660;31,20;1,894;-0,037;2,8;-0,275;55,47;2,296;2,254;-0,040;4,6;-1,200;31,81;2,350;2,233;-0,019;-0,1;0,059;19,81;2,254;0,007;-4,3;106,6;48,9;;;;;
230;-0,21260;-0,06720;5,02;211,50;-0,669;29,44;1,891;-0,037;3,2;-0,271;59,35;2,294;2,253;-0,040;3,2;-1,165;37,07;2,340;2,232;-0,018;-0,2;0,127;20,29;2,253;0,007;-1,9;107,8;55,3;;;;;
231;-0,22690;-0,07320;1,83;199,94;-0,652;29,38;1,887;-0,035;2,5;-0,228;56,61;2,283;2,230;-0,040;1,8;-1,141;41,41;2,337;2,215;-0,005;-2,0;0,141;22,02;2,268;0,016;-3,2;108,9;62,2;;;;;
232;-0,19900;-0,04080;9,73;220,44;-0,695;31,34;1,901;-0,041;2,9;-0,283;59,15;2,298;2,257;-0,045;4,5;-1,200;33,88;2,353;2,245;-0,022;0,0;0,085;16,37;2,271;0,003;-0,3;107,9;63,1;;;;;
233;-0,19500;-0,04450;5,35;223,94;-0,677;31,06;1,894;-0,034;2,9;-0,292;62,82;2,299;2,255;-0,039;3,1;-1,194;31,23;2,349;2,243;-0,018;-0,1;0,076;17,21;2,285;0,006;-1,5;108,4;53,5;;;;;
234;-0,17750;-0,04290;5,89;227,34;-0,684;31,48;1,892;-0,037;3,1;-0,289;61,11;2,298;2,255;-0,042;2,8;-1,200;31,87;2,350;2,246;-0,021;0,0;0,082;17,11;2,274;0,001;-1,5;108,8;53,6;;;;;
235;-0,23750;-0,09730;5,44;198,22;-0,653;27,91;1,888;-0,035;3,0;-0,249;56,85;2,286;2,249;-0,038;2,7;-1,128;43,79;2,332;2,227;-0,014;-0,6;0,170;19,05;2,250;0,014;-2,0;108,6;56,9;;;;;
236;-0,20210;-0,04350;3,75;224,20;-0,686;31,52;1,902;-0,045;5,5;-0,286;62,69;2,298;2,260;-0,046;5,4;-1,182;35,82;2,346;2,234;-0,026;2,7;0,064;14,90;2,295;0,001;0,4;106,5;53,9;;;;;
237;-0,19650;-0,04320;11,23;221,80;-0,684;26,58;1,908;-0,036;5,2;-0,273;60,06;2,299;2,278;-0,039;3,3;-1,187;29,76;2,350;2,252;-0,015;1,5;0,101;10,25;2,308;0,013;-2,1;106,8;68,7;;;;;
238;-0,19130;-0,05890;3,54;227,53;-0,681;31,84;1,909;-0,039;4,6;-0,280;59,36;2,297;2,268;-0,041;5,5;-1,169;26,74;2,345;2,237;-0,013;2,9;0,134;12,55;2,258;0,012;1,1;107,5;52,1;;;;;
239;-0,18960;-0,03940;8,10;231,50;-0,669;30,69;1,900;-0,039;2,7;-0,277;61,94;2,300;2,256;-0,042;2,4;-1,167;31,88;2,344;2,251;-0,017;-0,9;0,083;14,70;2,293;0,011;-1,9;107,9;31,0;;;;;
240;-0,20940;-0,00440;3,18;225,18;-0,682;36,19;1,899;-0,026;3,1;-0,288;68,74;2,301;2,247;-0,027;3,4;-1,232;29,92;2,363;2,259;-0,007;0,3;0,008;15,65;2,283;0,003;-0,5;107,3;33,3;;;;;
241;-0,20130;0,00430;3,25;227,36;-0,703;39,14;1,897;-0,033;3,4;-0,313;71,16;2,305;2,254;-0,035;3,5;-1,281;35,87;2,369;2,248;-0,018;1,3;-0,017;17,08;2,292;-0,005;-0,1;107,2;42,0;;;;;
242;-0,22790;-0,02670;3,61;209,16;-0,668;34,45;1,895;-0,026;3,0;-0,270;65,79;2,294;2,244;-0,026;3,0;-1,223;33,99;2,356;2,235;-0,010;0,2;0,036;22,01;2,276;0,000;-0,7;108,2;47,9;;;;;
243;-0,19170;0,00140;6,38;234,09;-0,708;38,82;1,910;-0,031;2,8;-0,314;72,39;2,308;2,262;-0,032;3,1;-1,275;35,21;2,373;2,260;-0,015;0,5;-0,013;18,96;2,309;-0,002;-0,7;106,6;34,3;;;;;
244;-0,19180;0,00100;7,24;232,79;-0,734;40,38;1,911;-0,034;3,1;-0,345;74,10;2,313;2,269;-0,037;3,7;-1,312;40,23;2,374;2,270;-0,020;0,5;-0,022;17,47;2,298;0,000;2,7;107,0;46,5;;;;;
245;-0,20110;-0,04920;3,94;232,16;-0,694;38,12;1,902;-0,030;3,2;-0,305;70,20;2,305;2,255;-0,031;3,2;-1,253;35,12;2,367;2,251;-0,014;0,5;0,016;16,35;2,295;-0,002;-0,5;107,9;41,6;;;;;
246;-0,19750;-0,04880;5,38;238,77;-0,698;38,36;1,907;-0,033;3,3;-0,315;71,29;2,309;2,262;-0,034;3,2;-1,258;35,01;2,366;2,255;-0,017;0,3;0,005;18,72;2,300;-0,004;-0,5;107,2;40,7;;;;;
247;-0,19790;-0,03900;7,49;232,30;-0,676;34,75;1,909;-0,030;2,7;-0,281;68,06;2,306;2,266;-0,031;2,9;-1,208;30,78;2,359;2,271;-0,009;-0,1;0,048;17,40;2,289;0,007;-1,0;107,2;37,7;;;;;
248;-0,19290;-0,06160;3,12;231,50;-0,658;34,82;1,898;-0,031;6,9;-0,279;67,02;2,302;2,256;-0,032;6,4;-1,202;33,78;2,354;2,240;-0,013;3,8;0,081;19,75;2,277;0,005;3,1;108,4;44,1;;;;;
249;-0,20890;-0,07830;4,10;222,49;-0,637;32,38;1,895;-0,032;2,4;-0,244;61,94;2,297;2,252;-0,034;2,1;-1,167;33,98;2,347;2,233;-0,015;-0,4;0,112;20,08;2,265;0,004;-1,9;108,3;45,1;;;;;
250;-0,18880;-0,00960;11,40;239,44;-0,687;38,77;1,926;-0,024;2,7;-0,302;73,46;2,313;2,271;-0,023;3,2;-1,258;33,66;2,372;2,289;-0,004;0,1;-0,020;15,95;2,331;0,006;-0,4;106,1;23,0;;;;;
251;-0,19170;-0,00960;4,84;239,51;-0,689;39,34;1,913;-0,027;3,5;-0,308;73,25;2,311;2,263;-0,026;3,7;-1,257;36,20;2,371;2,274;-0,011;0,6;-0,023;18,21;2,313;-0,001;0,1;106,9;33,8;;;;;
252;-0,18970;-0,00270;3,81;230,61;-0,705;41,17;1,911;-0,031;4,3;-0,330;74,07;2,310;2,266;-0,032;4,3;-1,324;41,69;2,375;2,257;-0,022;2,4;-0,060;19,98;2,316;-0,009;0,8;107,5;46,6;;;;;
253;-0,25180;-0,05520;2,49;195,58;-0,635;32,07;1,896;-0,015;-0,3;-0,237;63,33;2,288;2,245;-0,012;-0,6;-1,189;37,09;2,351;2,237;0,003;-3,9;0,100;23,01;2,253;0,008;-0,8;108,9;53,3;;;;;
254;-0,18300;-0,00610;18,05;241,67;-0,711;40,14;1,932;-0,025;2,9;-0,326;75,95;2,318;2,285;-0,026;3,3;-1,271;36,25;2,381;2,306;-0,004;0,1;-0,038;15,72;2,351;0,005;-0,7;105,2;32,3;;;;;
255;-0,18580;-0,00410;9,75;240,51;-0,685;36,45;1,918;-0,025;7,1;-0,309;71,04;2,314;2,266;-0,025;7,4;-1,273;32,41;2,374;2,279;-0,013;5,4;-0,027;14,68;2,320;0,000;4,2;107,1;21,2;;;;;
256;-0,19220;-0,05870;5,15;239,45;-0,693;39,39;1,918;-0,026;3,5;-0,320;73,01;2,314;2,273;-0,027;3,9;-1,251;37,27;2,367;2,274;-0,011;0,3;-0,009;20,45;2,317;-0,001;0,0;107,8;45,0;;;;;
257;-0,18650;-0,05350;8,99;240,68;-0,694;38,85;1,919;-0,027;3,7;-0,320;72,45;2,315;2,274;-0,029;3,7;-1,255;37,03;2,372;2,274;-0,009;1,2;-0,006;18,10;2,321;-0,001;0,2;106,6;46,4;;;;;
258;-0,18160;-0,02910;9,39;237,38;-0,695;37,69;1,928;-0,035;4,1;-0,306;71,49;2,312;2,276;-0,030;3,7;-1,272;38,05;2,370;2,269;-0,020;2,4;0,003;18,09;2,314;-0,002;0,7;107,0;38,1;;;;;
259;-0,18720;-0,02860;21,86;239,37;-0,694;36,30;1,931;-0,023;2,7;-0,305;72,42;2,316;2,281;-0,024;3,4;-1,242;33,40;2,372;2,303;0,003;0,1;0,003;13,36;2,341;0,014;-1,1;105,2;36,5;;;;;
260;-0,18810;-0,06350;5,45;236,04;-0,664;36,25;1,917;-0,025;3,5;-0,288;70,18;2,310;2,269;-0,024;3,3;-1,212;34,97;2,362;2,266;-0,007;0,1;0,041;19,11;2,308;0,006;-0,1;108,1;51,2;;;;;
261;-0,20730;-0,08860;7,80;219,81;-0,619;29,91;1,910;-0,021;2,5;-0,227;61,69;2,299;2,263;-0,022;2,4;-1,170;35,59;2,350;2,238;-0,007;-0,4;0,123;16,64;2,288;0,013;-2,0;108,1;52,7;;;;;
262;-0,17400;-0,02800;11,88;242,69;-0,692;38,77;1,936;-0,032;3,7;-0,304;75,98;2,313;2,280;-0,028;3,4;-1,253;39,57;2,371;2,284;-0,009;-0,2;0,003;21,07;2,322;0,002;0,1;107,4;37,4;;;;;
263;-0,21810;-0,01170;3,80;212,16;-0,701;33,77;1,897;-0,031;2,8;-0,293;65,35;2,297;2,246;-0,034;2,9;-1,260;31,90;2,360;2,234;-0,012;0,7;0,025;19,74;2,277;0,001;-0,7;108,9;56,3;;;;;
264;-0,19560;-0,00630;3,46;224,47;-0,698;35,21;1,905;-0,035;2,4;-0,291;67,23;2,299;2,251;-0,035;2,7;-1,277;32,06;2,364;2,244;-0,020;-0,3;0,009;16,96;2,300;-0,001;-0,5;108,6;46,7;;;;;
265;-0,20240;-0,05280;2,28;226,16;-0,670;35,47;1,891;-0,025;3,2;-0,280;68,04;2,301;2,247;-0,028;3,3;-1,232;33,86;2,363;2,238;-0,009;0,3;0,061;21,53;2,270;0,000;-0,3;109,3;52,4;;;;;
266;-0,17800;-0,02550;6,03;221,64;-0,667;32,34;1,903;-0,034;2,9;-0,260;63,47;2,296;2,252;-0,034;2,6;-1,216;32,50;2,354;2,233;-0,012;0,3;0,065;16,37;2,282;0,005;-1,1;108,3;48,9;;;;;
267;-0,21610;-0,00270;2,77;220,16;-0,695;35,17;1,891;-0,032;2,8;-0,291;66,82;2,297;2,241;-0,035;3,0;-1,247;30,72;2,359;2,236;-0,014;0,5;0,015;20,15;2,281;0,000;-0,4;108,9;44,8;;;;;
268;-0,19130;-0,00300;4,65;230,32;-0,710;36,84;1,904;-0,037;2,4;-0,302;69,50;2,306;2,258;-0,037;3,0;-1,299;35,15;2,369;2,249;-0,028;-0,8;0,003;14,98;2,297;-0,003;-0,3;107,9;41,7;;;;;
269;-0,20200;-0,05050;2,40;229,65;-0,658;36,32;1,889;-0,028;2,4;-0,270;67,72;2,304;2,241;-0,029;2,7;-1,228;30,12;2,362;2,234;-0,014;0,5;0,051;16,22;2,283;0,000;-0,2;108,1;36,2;;;;;
270;-0,18510;0,00560;5,07;234,22;-0,709;37,23;1,908;-0,034;2,9;-0,310;69,94;2,304;2,260;-0,035;3,1;-1,278;32,25;2,368;2,256;-0,019;0,7;-0,004;14,30;2,300;-0,002;-0,4;107,9;35,8;;;;;
271;-0,16280;-0,03750;23,72;246,48;-0,679;34,79;1,933;-0,029;3,1;-0,297;71,84;2,325;2,280;-0,034;3,7;-1,271;37,09;2,379;2,294;-0,012;6,6;0,003;11,21;2,337;0,005;-1,3;105,0;55,4;;;;;
272;-0,19790;-0,05970;2,90;226,13;-0,678;37,23;1,891;-0,033;3,5;-0,287;68,47;2,303;2,249;-0,035;3,5;-1,245;36,30;2,359;2,228;-0,016;1,3;0,034;21,04;2,275;0,001;-0,2;107,8;49,1;;;;;
273;-0,19860;-0,05920;4,76;220,26;-0,704;35,00;1,894;-0,036;3,2;-0,303;66,39;2,300;2,251;-0,038;3,1;-1,241;35,96;2,356;2,242;-0,016;0,4;0,024;20,27;2,282;0,002;-1,0;108,5;52,4;;;;;
274;-0,19220;-0,05630;6,49;227,77;-0,686;34,30;1,902;-0,037;2,9;-0,285;66,69;2,300;2,255;-0,037;3,0;-1,234;32,87;2,357;2,244;-0,018;0,6;0,031;17,59;2,293;0,001;-0,8;108,1;42,5;;;;;
275;-0,19770;-0,06820;5,30;230,73;-0,675;36,49;1,893;-0,033;3,3;-0,281;68,16;2,301;2,251;-0,034;3,1;-1,222;35,87;2,358;2,237;-0,013;0,8;0,048;20,22;2,283;0,003;-0,6;108,0;47,3;;;;;
276;-0,18220;-0,04280;13,89;240,72;-0,669;30,31;1,910;-0,036;2,9;-0,274;64,47;2,312;2,266;-0,039;2,9;-1,171;12,57;2,353;2,284;-0,010;-0,2;0,061;9,39;2,319;0,004;-1,6;106,9;42,6;;;;;
277;-0,18650;-0,05010;6,80;231,92;-0,688;34,27;1,903;-0,037;2,8;-0,287;67,22;2,302;2,258;-0,038;3,0;-1,234;32,03;2,358;2,246;-0,018;0,7;0,029;17,09;2,309;0,003;-0,8;108,8;40,9;;;;;
278;-0,18410;-0,07740;3,06;228,71;-0,676;37,02;1,891;-0,035;3,4;-0,286;68,26;2,304;2,253;-0,037;3,5;-1,233;36,80;2,358;2,228;-0,017;1,0;0,043;21,14;2,280;0,001;-0,4;107,4;48,8;;;;;
279;-0,18070;-0,07450;6,93;228,17;-0,684;33,99;1,902;-0,038;3,0;-0,282;66,38;2,300;2,256;-0,038;3,1;-1,221;33,36;2,353;2,244;-0,016;0,6;0,036;17,74;2,298;0,003;-0,7;107,9;42,2;;;;;
280;-0,18350;-0,07840;5,14;232,73;-0,672;36,31;1,896;-0,034;3,3;-0,278;67,93;2,301;2,252;-0,035;3,1;-1,211;36,28;2,357;2,234;-0,014;0,8;0,069;17,54;2,278;0,005;-0,7;107,7;47,5;;;;;
281;-0,18040;-0,07420;3,13;230,87;-0,682;34,90;1,897;-0,035;3,4;-0,290;65,16;2,300;2,254;-0,036;3,3;-1,203;37,57;2,354;2,247;-0,017;1,4;0,027;18,83;2,288;0,002;-0,1;108,5;42,3;;;;;
282;-0,18100;-0,07430;7,35;231,21;-0,685;33,69;1,903;-0,038;3,1;-0,282;65,77;2,302;2,259;-0,038;3,0;-1,209;34,77;2,353;2,245;-0,018;0,6;0,050;17,44;2,298;0,003;-0,9;108,3;42,4;;;;;
283;-0,18140;-0,07560;9,73;236,84;-0,682;32,80;1,914;-0,039;2,6;-0,287;65,29;2,305;2,267;-0,042;2,5;-1,197;35,38;2,352;2,266;-0,022;0,4;0,052;14,76;2,318;0,001;-1,3;107,6;33,6;;;;;
284;-0,17790;-0,07020;7,43;229,87;-0,691;34,38;1,904;-0,038;3,1;-0,284;66,03;2,301;2,257;-0,038;3,1;-1,214;33,02;2,355;2,249;-0,015;0,4;0,038;17,19;2,302;0,002;-0,7;107,9;41,8;;;;;
285;-0,20580;-0,10860;7,99;227,52;-0,660;32,97;1,898;-0,037;3,0;-0,255;67,14;2,300;2,246;-0,036;3,0;-1,145;35,12;2,344;2,272;-0,008;0,1;0,095;20,10;2,278;0,014;-1,2;108,3;46,3;;;;;
286;-0,17840;-0,03640;3,42;236,72;-0,689;36,59;1,896;-0,037;2,6;-0,306;68,53;2,307;2,252;-0,041;3,1;-1,256;34,47;2,362;2,239;-0,020;-0,2;0,027;18,96;2,285;0,001;-1,2;107,9;36,1;;;;;
287;-0,18900;-0,05860;2,94;235,45;-0,661;36,17;1,894;-0,033;2,1;-0,283;66,78;2,305;2,253;-0,033;2,3;-1,221;34,24;2,358;2,244;-0,013;-1,4;0,064;14,26;2,295;0,005;-1,2;108,4;31,4;;;;;
288;-0,22120;0,00386;2,00;210,40;-0,650;31,30;1,886;-0,029;2,2;-0,249;62,30;2,293;2,227;-0,030;2,5;-1,210;24,60;2,353;2,228;-0,009;0,4;0,055;15,30;2,259;0,002;-0,4;108,4;45,9;;;;;
289;-0,22000;0,00460;1,95;211,57;-0,652;31,34;1,889;-0,029;2,2;-0,251;62,49;2,294;2,226;-0,031;2,5;-1,206;24,51;2,351;2,228;-0,009;0,4;0,054;15,07;2,267;0,003;-0,5;108,7;46,1;;;;;
290;-0,18770;-0,03840;4,64;225,47;-0,676;33,51;1,889;-0,037;2,6;-0,284;64,19;2,302;2,244;-0,039;3,0;-1,191;32,03;2,350;2,247;-0,014;0,1;0,046;17,42;2,297;0,003;-0,9;107,3;37,0;;;;;
291;-0,19621;0,03118;0,80;238,90;-0,700;39,60;1,908;-0,031;4,1;-0,357;77,09;2,308;2,260;-0,042;1,8;-1,370;48,30;2,380;2,238;-0,024;1,4;-0,099;22,60;2,318;-0,012;-1,6;107,3;35,2;;;;;
292;-0,16130;0,01950;12,13;245,30;-0,720;39,30;1,927;-0,034;3,1;-0,333;73,65;2,344;2,291;-0,040;3,6;-1,290;34,35;2,379;2,298;-0,021;0,7;-0,037;22,47;2,339;-0,008;-2,1;106,9;34,4;;;;;
293;-0,13570;0,03240;40,53;256,39;-0,729;32,68;1,947;-0,022;1,5;-0,333;69,40;2,328;2,307;-0,026;1,9;-1,244;16,08;2,375;2,377;0,008;1,2;-0,040;0,64;2,326;0,016;-1,7;105,1;20,7;;;;;
294;-0,19060;-0,03930;7,24;213,70;-0,640;31,60;1,909;-0,030;2,9;-0,236;61,26;2,295;2,250;-0,030;1,9;-1,150;33,29;2,348;2,262;0,000;-1,1;0,094;19,39;2,262;0,012;-1,6;107,2;47,9;;;;;
295;-0,15124;0,01717;11,00;250,70;-0,722;41,70;1,923;-0,035;3,5;-0,358;77,80;2,324;2,284;-0,039;3,8;-1,340;39,90;2,392;2,280;-0,017;0,4;-0,070;17,60;2,340;-0,011;0,0;106,7;36,4;;;;;
296;-0,16170;0,00770;6,45;247,18;-0,711;45,04;1,923;-0,035;1,6;-0,320;79,54;2,314;2,277;-0,036;2,0;-1,259;43,65;2,367;2,293;-0,019;-0,6;-0,019;23,62;2,331;-0,003;-1,5;106,8;34,7;;;;;
297;-0,14535;0,02923;14,00;254,80;-0,710;40,50;1,934;-0,037;2,5;-0,347;76,64;2,323;2,275;-0,038;3,1;-1,300;34,70;2,387;2,302;-0,007;-2,6;-0,037;19,80;2,337;0,005;-1,8;106,4;26,2;;;;;
298;-0,17150;-0,01050;42,81;258,26;-0,681;27,90;1,961;-0,039;2,3;-0,298;65,84;2,324;2,296;-0,041;2,4;-1,151;21,01;2,372;2,307;-0,023;-0,3;0,010;-0,46;2,359;-0,003;-0,5;106,4;18,8;;;;;
299;-0,15710;-0,04650;27,46;252,12;-0,658;31,05;1,940;-0,021;0,2;-0,276;69,60;2,319;2,289;-0,023;0,7;-1,215;27,79;2,367;2,285;-0,004;-4,0;0,070;7,38;2,331;0,027;-4,3;104,2;29,9;;;;;
300;-0,16420;0,02360;7,02;240,51;-0,710;38,44;1,919;-0,024;-0,3;-0,335;72,74;2,316;2,275;-0,026;-0,1;-1,316;35,61;2,382;2,276;-0,008;-3,0;-0,054;15,48;2,332;0,002;-3,7;106,6;41,3;;;;;
301;-0,17220;0,01120;7,07;239,04;-0,736;40,24;1,914;-0,032;0,8;-0,344;74,59;2,314;2,271;-0,034;1,2;-1,314;38,56;2,381;2,275;-0,017;-1,8;-0,027;16,69;2,321;-0,003;-0,5;108,3;46,8;;;;;
302;-0,18550;-0,06760;2,92;225,68;-0,680;39,72;1,921;-0,017;4,0;-0,312;69,88;2,303;2,259;-0,024;3,8;-1,296;47,33;2,369;2,249;-0,003;2,0;-0,033;22,07;2,318;-0,001;1,5;108,0;43,6;;;;;
303;-0,15630;0,02340;34,70;255,64;-0,704;36,47;1,962;-0,016;1,8;-0,341;68,78;2,330;2,302;-0,001;-0,9;-1,267;27,20;2,383;2,345;0,015;-2,3;-0,047;4,32;2,327;0,023;-3,2;104,7;15,8;;;;;
304;-0,15830;0,02430;39,30;253,06;-0,724;33,83;1,937;-0,010;0,3;-0,327;67,45;2,329;2,310;-0,006;2,7;-1,303;30,42;2,387;2,324;0,007;-1,1;-0,037;4,21;2,328;0,028;-3,3;104,8;22,7;;;;;
305;-0,18440;-0,03610;3,47;216,71;-0,675;33,55;1,901;-0,036;1,3;-0,272;64,45;2,294;2,248;-0,038;1,3;-1,195;35,69;2,353;2,257;-0,013;-1,7;0,061;19,83;2,281;0,000;-2,9;108,2;51,8;;;;;
306;-0,18330;-0,05980;7,39;224,68;-0,640;36,15;1,913;-0,034;4,2;-0,259;62,41;2,302;2,258;-0,022;1,2;-1,177;33,00;2,355;2,269;-0,001;-1,2;0,077;17,42;2,281;0,011;-1,6;107,5;41,7;;;;;
307;-0,18710;-0,05030;5,74;215,89;-0,662;30,79;1,905;-0,034;3,1;-0,249;63,03;2,294;2,252;-0,034;2,6;-1,172;29,49;2,346;2,242;-0,009;3,3;0,100;19,22;2,272;0,009;-1,5;108,5;50,9;;;;;
308;-0,16130;-0,04670;12,22;249,84;-0,705;40,39;1,924;-0,034;3,5;-0,330;75,46;2,319;2,276;-0,036;3,8;-1,276;36,63;2,376;2,278;-0,019;0,9;-0,029;18,04;2,332;-0,005;0,3;106,5;39,6;;;;;
309;-0,16970;-0,02760;10,04;241,21;-0,719;35,96;1,917;-0,042;3,1;-0,331;69,89;2,314;2,271;-0,044;3,6;-1,276;33,14;2,372;2,269;-0,023;2,6;0,006;16,88;2,316;-0,004;-0,8;107,1;51,4;;;;;
310;-0,16310;-0,04790;34,29;249,38;-0,683;31,07;1,939;-0,020;0,8;-0,303;68,61;2,324;2,289;-0,024;1,3;-1,201;24,55;2,371;2,327;0,007;-0,8;0,037;1,98;2,334;0,039;-2,4;103,6;24,5;;;;;
311;-0,16210;-0,05040;16,27;251,05;-0,676;33,52;1,932;-0,036;4,9;-0,317;70,31;2,326;2,284;-0,040;5,3;-1,220;30,82;2,372;2,309;-0,013;1,0;-0,016;12,65;2,345;-0,002;0,2;104,8;33,3;;;;;
312;-0,18110;-0,06370;20,50;230,65;-0,636;26,72;1,920;-0,010;-0,3;-0,255;60,58;2,308;2,271;-0,018;1,3;-1,155;26,24;2,352;2,279;0,013;-2,1;0,103;9,74;2,307;0,025;-3,0;107,1;35,5;;;;;
313;-0,18520;-0,04620;2,77;241,21;-0,669;39,88;1,925;-0,012;2,6;-0,311;70,76;2,313;2,273;-0,019;2,8;-1,265;42,43;2,371;2,282;0,007;-1,0;-0,009;18,53;2,319;0,005;0,3;108,6;33,9;;;;;
314;-0,19410;0,01750;2,85;232,11;-0,689;40,07;1,918;-0,030;4,6;-0,320;72,30;2,308;2,269;-0,029;4,7;-1,339;42,61;2,378;2,266;-0,016;2,2;-0,069;18,16;2,319;-0,010;1,1;107,5;34,5;;;;;
